sensor_id,hour,date,hourly_avg
0a,1,2020-08-22,4.955
0a,1,2020-08-23,5.09
0a,1,2020-08-24,4.89
0a,1,2020-08-25,6.155
0a,2,2019-11-16,6.72
0a,2,2019-11-17,6.265
0a,2,2019-11-18,5.845
0a,2,2019-11-19,6.83
0a,2,2019-11-20,4.98
0a,2,2019-11-21,5.625
0a,2,2019-11-22,5.025
0a,2,2019-11-23,5.395
0a,2,2019-11-24,7.02
0a,2,2019-11-25,6.9350000000000005
0a,2,2019-11-26,7.68
0a,2,2019-11-27,5.34
0a,2,2019-11-28,7.39
0a,2,2019-11-29,7.945
0a,2,2019-11-30,7.05
0a,2,2019-12-01,4.585
0a,2,2019-12-02,5.885
0a,2,2019-12-03,4.3149999999999995
0a,2,2019-12-04,6.505
0a,2,2019-12-05,6.015
0a,2,2019-12-06,5.265
0a,2,2019-12-07,7.9799999999999995
0a,2,2019-12-08,5.82
0a,2,2019-12-09,8.025
0a,2,2019-12-10,8.32
0a,2,2019-12-11,5.32
0a,2,2019-12-12,4.85
0a,2,2019-12-13,6.395
0a,2,2019-12-14,5.2
0a,2,2019-12-15,5.405
0a,2,2019-12-16,8.335
0a,2,2019-12-17,10.05
0a,2,2019-12-18,5.705
0a,2,2019-12-19,7.38
0a,2,2019-12-20,6.41
0a,2,2019-12-21,13.325
0a,2,2019-12-22,7.055
0a,2,2019-12-23,10.459999999999999
0a,2,2019-12-24,9.26
0a,2,2019-12-25,7.92
0a,2,2019-12-26,20.535
0a,2,2019-12-27,8.14
0a,2,2019-12-28,29.03
0a,2,2019-12-29,9.88
0a,2,2019-12-30,10.14
0a,2,2019-12-31,12.705
0a,2,2020-01-01,7.085
0a,2,2020-01-02,5.925
0a,2,2020-01-03,7.145
0a,2,2020-01-04,75.80499999999999
0a,2,2020-01-05,7.635
0a,2,2020-01-06,60.37
0a,2,2020-01-07,46.025
0a,2,2020-01-08,33.17
0a,2,2020-01-09,14.15
0a,2,2020-01-10,75.735
0a,2,2020-01-11,7.075
0a,2,2020-01-12,5.455
0a,2,2020-01-13,5.13
0a,2,2020-01-14,792.3
0a,2,2020-01-15,151.595
0a,2,2020-01-16,127.31
0a,2,2020-01-17,7.555
0a,2,2020-01-18,5.41
0a,2,2020-01-19,22.63
0a,2,2020-01-20,12.93
0a,2,2020-01-21,10.125
0a,2,2020-01-22,6.685
0a,2,2020-01-23,8.38
0a,2,2020-01-24,4.695
0a,2,2020-01-25,6.31
0a,2,2020-01-26,6.07
0a,2,2020-01-27,6.035
0a,2,2020-01-28,6.17
0a,2,2020-01-29,7.82
0a,2,2020-01-30,17.56
0a,2,2020-01-31,9.07
0a,2,2020-02-01,7.96
0a,2,2020-02-02,8.825
0a,2,2020-02-03,5.605
0a,2,2020-02-04,5.55
0a,2,2020-02-05,5.56
0a,2,2020-02-06,6.465
0a,2,2020-02-07,82.96
0a,2,2020-02-08,47.11
0a,2,2020-02-09,8.025
0a,2,2020-02-10,4.765
0a,2,2020-02-11,8.22
0a,2,2020-02-12,6.085
0a,2,2020-02-13,6.4399999999999995
0a,2,2020-02-14,8.31
0a,2,2020-02-15,16.735
0a,2,2020-02-16,7.33
0a,2,2020-02-17,5.59
0a,2,2020-02-18,7.965
0a,2,2020-02-19,7.805
0a,2,2020-02-20,5.995
0a,2,2020-02-21,4.49
0a,2,2020-02-22,5.635
0a,2,2020-02-23,7.4
0a,2,2020-02-24,11.405
0a,2,2020-02-25,20.3
0a,2,2020-02-26,6.415
0a,2,2020-02-27,5.74
0a,2,2020-02-28,5.2250000000000005
0a,2,2020-02-29,5.1
0a,2,2020-03-01,5.63
0a,2,2020-03-02,5.9350000000000005
0a,2,2020-03-03,5.28
0a,2,2020-03-04,6.07
0a,2,2020-03-05,10.4
0a,2,2020-03-06,7.92
0a,2,2020-03-07,5.185
0a,2,2020-03-08,6.555
0a,2,2020-03-09,4.99
0a,2,2020-03-10,5.335
0a,2,2020-03-11,6.43
0a,2,2020-03-12,5.77
0a,2,2020-03-13,4.8352941176470585
0a,2,2020-03-14,5.815789473684211
0a,2,2020-03-15,5.1000000000000005
0a,2,2020-03-16,5
0a,2,2020-03-17,6.915
0a,2,2020-03-18,4.925
0a,2,2020-03-19,7.725
0a,2,2020-03-20,5.325
0a,2,2020-03-21,5.89
0a,2,2020-03-22,8.325
0a,2,2020-03-23,5.445
0a,2,2020-03-24,4.73
0a,2,2020-03-25,4.775
0a,2,2020-03-26,5.295
0a,2,2020-03-27,6.545
0a,2,2020-03-28,10.305
0a,2,2020-03-29,5.4
0a,2,2020-03-30,7.685
0a,2,2020-03-31,6.08
0a,2,2020-04-01,7.3950000000000005
0a,2,2020-04-02,12.045
0a,2,2020-04-03,18.645
0a,2,2020-04-04,5.82
0a,2,2020-04-05,5.05
0a,2,2020-04-06,5.155
0a,2,2020-04-07,5.46
0a,2,2020-04-08,5.445
0a,2,2020-04-09,6.615
0a,2,2020-04-10,17.37
0a,2,2020-04-11,6.085
0a,2,2020-04-12,6.425
0a,2,2020-04-13,5.66
0a,2,2020-04-14,9.89
0a,2,2020-04-15,7.845
0a,2,2020-04-16,5.48
0a,2,2020-04-17,6.04
0a,2,2020-04-18,5.755
0a,2,2020-04-19,5.715
0a,2,2020-04-20,6.2700000000000005
0a,2,2020-04-21,9.475
0a,2,2020-04-22,5.97
0a,2,2020-04-23,9.22
